Model_Group,Title,Total_Price_Raw,Base_Price_Raw,Year_Raw,Mileage_Raw,Region,URL
Integra,インテグラ 2.0 タイプS 後期タイプS/i-VTEC/HID,59.8万円,58.8万円,2005(H17),9.4万km,Unknown,https://www.carsensor.net/usedcar/detail/AU5796179876/index.html
Integra,インテグラ 2.0 タイプS 無限マフラー　純正17インチAW,88万円,74.7万円,2006(H18),18.9万km,Unknown,https://www.carsensor.net/usedcar/detail/AU6418418613/index.html
Integra,インテグラ 2.0 タイプS ETC レザーシート　キーレス,40.3万円,38.8万円,2005(H17),6.1万km,Unknown,https://www.carsensor.net/usedcar/detail/AU6665136679/index.html
Integra,インテグラ 2.0 タイプS 無限パーツ　モデューロエアロ　マフラー,116万円,99.0万円,2005(H17),7.3万km,Unknown,https://www.carsensor.net/usedcar/detail/AU6689095177/index.html
Integra,インテグラ 2.0 タイプS 自社分割/ローダウン/リアスポイラー/エアロ/社外ステア,78万円,77.0万円,2005(H17),12.7万km,Unknown,https://www.carsensor.net/usedcar/detail/AU6648983990/index.html
Integra,インテグラ 1.6 XSi B16AVTECエンジン純正5速ノーマル,235万円,218.0万円,1990(H02),9.2万km,Unknown,https://www.carsensor.net/usedcar/detail/AU6215393126/index.html
Integra,インテグラ 2.0 タイプS 5MT　エアロ　地デジナビ　ETC,154.6万円,144.5万円,2006(H18),9.8万km,Unknown,https://www.carsensor.net/usedcar/detail/AU6546657386/index.html
Integra,インテグラ 2.0 タイプS 5MT　キーレス,174万円,163.8万円,2005(H17),10万km,Unknown,https://www.carsensor.net/usedcar/detail/AU6567193658/index.html
Integra,インテグラ 2.0 タイプS 5MT　外マフラー　ローダウン　外シート,148.7万円,139.8万円,2004(H16),4.4万km,Unknown,https://www.carsensor.net/usedcar/detail/AU6580127125/index.html
Integra,インテグラ 2.0 iS 無限足廻り・FEEL'Sマフラー・RAYSホイール,212.6万円,198.0万円,2002(H14),8.8万km,Unknown,https://www.carsensor.net/usedcar/detail/AU6313098214/index.html
Integra,インテグラ 2.0 iS オリジナルコンディション　純正15AW　革巻ステアリング　HID　オーディオ,90.7万円,78.0万円,2001(H13),10.8万km,Unknown,https://www.carsensor.net/usedcar/detail/AU6586823616/index.html
